page	col	note_no	note_text	anchor_words	anchor_in_our_latin	layer
n185	0297B	1	Cod. *ei*.	credunt, notitiam ejus (1) et intelligentiam	yes — key read at the plate in the pilot (cruces.md table)	vl
n186	0299C	1	Cod. *possidet*.		no — KEY NOT VISIBLE after *possideo* at the plate (merge re-read 2026-09-16, n186 both lines): *Quidquid gratia possideo, non* / *aliunde, nisi ex plenitudine gratiae ipsius accipio.* An unresolved mark over *gratiae*; not placed	vl
n186	0300C	2	Cod. *Ario[p?]agitam*.	plenius scire desiderat, legat sanctum Dionysium Areopagitam (2).	yes — key position read at the plate at merge, 2026-09-16; p/v unsettled (pilot clean p, stint 1 v-like)	vl
n187	0301A	1	Cod. *cur cum*.	Sed non immerito quaeritur, cur (1) in Veteri Testamento	yes — key position read at the plate at merge, 2026-09-16	vl
n188	0303A	1	cod. *doctrinam et manifestationem*.	hoc est, doctrina et manifestatione (1) suae incarnationis	yes — key after manifestatione, read at the plate	vl
n188	0304B	a	Hieronymus : Juda, laudatio, confessio. Nam [Hebrew] dicitur a verbo [Hebrew] Hiph. [Hebrew], id est, confiteri.	Judaea enim *confessio* interpretatur (a), in negationem omnino veritatis	yes — key position read at the plate at merge, 2026-09-16; Hebrew not letter-certain	fn
n189	0305C	1	Cod *θρ[έ/ό]φος*.	μελὶ *mel,* τροφὴ (1) *esca;*	yes — key after τροφὴ, read at the plate; ε/ο undecided	vl
n189	0305C	2	Cod. *Fariseis*.	erant ex Pharisaeis* (2). Quaeritur, quare Pharisaei	yes — key position read at the plate at merge, 2026-09-16	vl
n189	0306A	3	Cod. *diffinitus*.	priusquam fieret mundus, definitus (3) est, quod post me	yes — key position read at the plate at merge, 2026-09-16; middle letters blotched	vl
n190	0307C	a	Hieronymus : Bethania, domus afflictionis ejus, vel domus obedientiae. Bethania derivatur a verbo [Hebrew] respondere, obedire, depressus esse.	Bethania interpretatur *domus obedientiae* (a). Sunt autem duae Bethaniae	yes — key position read at the plate at merge, 2026-09-16; Hebrew not letter-certain	fn
n190	0308A	b	S. Hieronymus : Jerosolyma, visio pacis. J. Scotus vocem infra interpretatur templum pacis. Vox derivatur a [Hebrew].	Jerusalem quippe *visio pacis* interpretatur (b). Quae caelestem civitatem	yes — key position read at the plate at merge, 2026-09-16; Hebrew not letter-certain	fn
n190	0308C	1	Cod. *synaxios*.	altera συνάξεως (1), hoc est, communionis corporis	yes — key position read at the plate at merge, 2026-09-16	vl
n190	0308C	2	Cod. *optinet*.	et futurum beatae vitae obtinet (2). In quibusdam quippe	yes — key position read at the plate at merge, 2026-09-16	vl
n191	0310D	a	J. Scotus pessime omnino docet, primum hominem ante praevaricationem simplicem hominem fuisse, at demum post peccatum humanam naturam in masculum et feminam divisam esse. Ex qua divisione sexuum natam esse generis humani multiplicationem, quae fiat generatione per corruptionem. Quem errorem in libris de div. Nat. uberius exposuit. Recensetur illa doctrina in commentatione de J. Scoto supra posita P. II § 50 sqq.	poena generalis peccati est (a), quo simul totum genus humanum	yes — key read at the plate (stint 0004)	fn
n192	0311B	b	En ineptiarum, quas, teste Adrevaldo, J. Scotus de SS. Eucharistia docuit, vestigia. E contra Berengarius Romanae subscribere debuit formulae: « Panem et vinum, quae in altari ponuntur, post consecrationem non solum sacramentum, sed etiam verum corpus et sanguinem Domini nostri esse; et sensualiter non solum sacramento, sed in veritate manibus sacerdotum tractari, et frangi et fidelium dentibus atteri ». Quae quidem de specie dicta sunt; nam nulla rei fit scissura. Nec non J. Scotus supra in expositionibus caelestis Ierarchiae docuerat, sanctissimam Eucharistiam in interiora naturae nostrae viscera sumi, ad nostram ineffabilem deificationem.	intellectualiter mente, non dente, comedimus (b). Itaque unusquisque credentium	yes — key read at the plate (stint 0004)	fn
n193	0313A	a	Ea, quae J. Scotus usque ad finem fragmenti de peccato originali cet. disputat, cum veritate Christiana non satis convenire, nemo non intelligit. Quae ipsius de his capitibus falsissima doctrina fuerit, copiosius disceptatur in commentatione supra typis expressa P. II § 57 sqq.	nisi poena originalis peccati, nasci non possunt (a)? Si enim causa	yes — key read at the plate (stint 0004)	fn
n193	0313B	1	Sic cod., forte leg. *humanae naturae?*		no — KEY NOT FOUND on the archive leaf or Princeton PA313; probable site 0313B *humana natura*, unconfirmed, so not placed	vl
